action 1: (3, 4) build type 1
actionProfitValue = 0.116396, totalProfit = 315.981107 => action 998: (6, 5) upgrade
actionProfitValue = 0.116354, totalProfit = 316.097503 => action 999: (5, 5) upgrade
actionProfitValue = 0.116223, totalProfit = 316.213858 => action 1000: (3, 7) upgrade
actionProfitValue = 0.116156, totalProfit = 316.330081 => action 1001: (3, 3) upgrade
actionProfitValue = 0.116037, totalProfit = 316.446237 => action 1002: (1, 4) upgrade
actionProfitValue = 0.115818, totalProfit = 316.562274 => action 1003: (3, 2) upgrade
actionProfitValue = 0.115781, totalProfit = 316.678092 => action 1004: (1, 5) upgrade
actionProfitValue = 0.115775, totalProfit = 316.793873 => action 1005: (1, 6) upgrade
actionProfitValue = 0.115603, totalProfit = 316.909648 => action 1006: (5, 1) upgrade
actionProfitValue = 0.115447, totalProfit = 317.025250 => action 1007: (5, 6) upgrade
actionProfitValue = 0.115339, totalProfit = 317.140698 => action 1008: (1, 1) upgrade
actionProfitValue = 0.115205, totalProfit = 317.256036 => action 1009: (3, 1) upgrade
actionProfitValue = 0.115193, totalProfit = 317.371241 => action 1010: (7, 3) upgrade
actionProfitValue = 0.115010, totalProfit = 317.486434 => action 1011: (6, 2) upgrade
actionProfitValue = 0.114151, totalProfit = 317.601443 => action 1012: (3, 6) upgrade
actionProfitValue = 0.114128, totalProfit = 317.715595 => action 1013: (7, 4) upgrade
actionProfitValue = 0.114127, totalProfit = 317.829723 => action 1014: (1, 3) upgrade
actionProfitValue = 0.114068, totalProfit = 317.943849 => action 1015: (3, 4) upgrade
actionProfitValue = 0.113364, totalProfit = 318.057917 => action 1016: (6, 3) upgrade
actionProfitValue = 0.112860, totalProfit = 318.171281 => action 1017: (5, 3) upgrade
actionProfitValue = 0.112391, totalProfit = 318.284142 => action 1018: (5, 4) upgrade
actionProfitValue = 0.112389, totalProfit = 318.396533 => action 1019: (7, 2) upgrade
actionProfitValue = 0.112377, totalProfit = 318.508922 => action 1020: (7, 0) upgrade
actionProfitValue = 0.112086, totalProfit = 318.621300 => action 1021: (5, 2) upgrade
actionProfitValue = 0.112084, totalProfit = 318.733386 => action 1022: (1, 0) upgrade
actionProfitValue = 0.111573, totalProfit = 318.845470 => action 1023: (3, 3) upgrade
actionProfitValue = 0.111348, totalProfit = 318.957043 => action 1024: (6, 0) upgrade
actionProfitValue = 0.111226, totalProfit = 319.068392 => action 1025: (7, 6) upgrade
actionProfitValue = 0.111148, totalProfit = 319.179618 => action 1026: (1, 4) upgrade
actionProfitValue = 0.111139, totalProfit = 319.290766 => action 1027: (5, 0) upgrade
actionProfitValue = 0.111136, totalProfit = 319.401905 => action 1028: (3, 2) upgrade
actionProfitValue = 0.111103, totalProfit = 319.513041 => action 1029: (1, 5) upgrade
actionProfitValue = 0.111098, totalProfit = 319.624144 => action 1030: (7, 1) upgrade
actionProfitValue = 0.111043, totalProfit = 319.735241 => action 1031: (7, 5) upgrade
actionProfitValue = 0.110941, totalProfit = 319.846285 => action 1032: (3, 5) upgrade
actionProfitValue = 0.110878, totalProfit = 319.957226 => action 1033: (1, 1) upgrade
actionProfitValue = 0.110550, totalProfit = 320.068103 => action 1034: (3, 1) upgrade
actionProfitValue = 0.110538, totalProfit = 320.178653 => action 1035: (1, 2) upgrade
actionProfitValue = 0.110414, totalProfit = 320.289192 => action 1036: (6, 6) upgrade
actionProfitValue = 0.110062, totalProfit = 320.399606 => action 1037: (6, 4) upgrade
actionProfitValue = 0.109947, totalProfit = 320.509668 => action 1038: (6, 5) upgrade
actionProfitValue = 0.109821, totalProfit = 320.619615 => action 1039: (5, 5) upgrade
actionProfitValue = 0.109697, totalProfit = 320.729436 => action 1040: (3, 6) upgrade
actionProfitValue = 0.109517, totalProfit = 320.839133 => action 1041: (3, 7) upgrade
actionProfitValue = 0.109507, totalProfit = 320.948650 => action 1042: (1, 3) upgrade
actionProfitValue = 0.109217, totalProfit = 321.058158 => action 1043: (1, 6) upgrade
actionProfitValue = 0.108986, totalProfit = 321.167375 => action 1044: (5, 1) upgrade
actionProfitValue = 0.108965, totalProfit = 321.276361 => action 1045: (5, 6) upgrade
actionProfitValue = 0.108862, totalProfit = 321.385325 => action 1046: (6, 1) upgrade
actionProfitValue = 0.108745, totalProfit = 321.494188 => action 1047: (7, 3) upgrade
actionProfitValue = 0.108552, totalProfit = 321.602933 => action 1048: (3, 4) upgrade
actionProfitValue = 0.108544, totalProfit = 321.711485 => action 1049: (6, 2) upgrade
actionProfitValue = 0.107742, totalProfit = 321.820029 => action 1050: (7, 4) upgrade
actionProfitValue = 0.107718, totalProfit = 321.927770 => action 1051: (5, 3) upgrade
actionProfitValue = 0.107612, totalProfit = 322.035489 => action 1052: (3, 3) upgrade
actionProfitValue = 0.106849, totalProfit = 322.143101 => action 1053: (1, 4) upgrade
actionProfitValue = 0.106648, totalProfit = 322.249950 => action 1054: (3, 2) upgrade
actionProfitValue = 0.106614, totalProfit = 322.356599 => action 1055: (1, 5) upgrade
actionProfitValue = 0.106609, totalProfit = 322.463212 => action 1056: (6, 3) upgrade
actionProfitValue = 0.106523, totalProfit = 322.569821 => action 1057: (1, 1) upgrade
actionProfitValue = 0.106083, totalProfit = 322.676344 => action 1058: (5, 4) upgrade
actionProfitValue = 0.106079, totalProfit = 322.782428 => action 1059: (3, 1) upgrade
actionProfitValue = 0.106072, totalProfit = 322.888506 => action 1060: (7, 2) upgrade
actionProfitValue = 0.106067, totalProfit = 322.994579 => action 1061: (7, 0) upgrade
actionProfitValue = 0.105793, totalProfit = 323.100646 => action 1062: (5, 2) upgrade
actionProfitValue = 0.105791, totalProfit = 323.206439 => action 1063: (1, 0) upgrade
actionProfitValue = 0.105187, totalProfit = 323.312230 => action 1064: (3, 6) upgrade
actionProfitValue = 0.105092, totalProfit = 323.417416 => action 1065: (6, 0) upgrade
actionProfitValue = 0.104981, totalProfit = 323.522508 => action 1066: (7, 6) upgrade
actionProfitValue = 0.104907, totalProfit = 323.627489 => action 1067: (5, 0) upgrade
actionProfitValue = 0.104896, totalProfit = 323.732396 => action 1068: (7, 5) upgrade
actionProfitValue = 0.104712, totalProfit = 323.837292 => action 1069: (1, 3) upgrade
actionProfitValue = 0.104573, totalProfit = 323.942003 => action 1070: (3, 5) upgrade
actionProfitValue = 0.104531, totalProfit = 324.046577 => action 1071: (1, 2) upgrade
actionProfitValue = 0.104094, totalProfit = 324.151108 => action 1072: (3, 4) upgrade
actionProfitValue = 0.103928, totalProfit = 324.255202 => action 1073: (6, 6) upgrade
actionProfitValue = 0.103882, totalProfit = 324.359131 => action 1074: (6, 4) upgrade
actionProfitValue = 0.103774, totalProfit = 324.463012 => action 1075: (7, 1) upgrade
actionProfitValue = 0.103744, totalProfit = 324.566786 => action 1076: (6, 5) upgrade
actionProfitValue = 0.103654, totalProfit = 324.670530 => action 1077: (5, 5) upgrade
actionProfitValue = 0.103538, totalProfit = 324.774185 => action 1078: (3, 7) upgrade
actionProfitValue = 0.103239, totalProfit = 324.877723 => action 1079: (5, 3) upgrade
actionProfitValue = 0.103037, totalProfit = 324.980962 => action 1080: (5, 1) upgrade
actionProfitValue = 0.102847, totalProfit = 325.083999 => action 1081: (5, 6) upgrade
actionProfitValue = 0.102750, totalProfit = 325.186845 => action 1082: (1, 6) upgrade
actionProfitValue = 0.102747, totalProfit = 325.289595 => action 1083: (3, 3) upgrade
actionProfitValue = 0.102532, totalProfit = 325.392342 => action 1084: (7, 3) upgrade
actionProfitValue = 0.102457, totalProfit = 325.494874 => action 1085: (1, 4) upgrade
actionProfitValue = 0.102339, totalProfit = 325.597331 => action 1086: (3, 2) upgrade
actionProfitValue = 0.102306, totalProfit = 325.699671 => action 1087: (1, 5) upgrade
actionProfitValue = 0.102301, totalProfit = 325.801977 => action 1088: (1, 1) upgrade
actionProfitValue = 0.101797, totalProfit = 325.904278 => action 1089: (3, 1) upgrade
actionProfitValue = 0.101786, totalProfit = 326.006075 => action 1090: (6, 2) upgrade
actionProfitValue = 0.101692, totalProfit = 326.107862 => action 1091: (7, 4) upgrade
actionProfitValue = 0.101670, totalProfit = 326.209554 => action 1092: (6, 1) upgrade
actionProfitValue = 0.101597, totalProfit = 326.311224 => action 1093: (3, 6) upgrade
actionProfitValue = 0.100846, totalProfit = 326.412821 => action 1094: (6, 3) upgrade
actionProfitValue = 0.100542, totalProfit = 326.513667 => action 1095: (1, 3) upgrade
actionProfitValue = 0.100127, totalProfit = 326.614209 => action 1096: (5, 4) upgrade
actionProfitValue = 0.100123, totalProfit = 326.714336 => action 1097: (7, 2) upgrade
actionProfitValue = 0.100112, totalProfit = 326.814458 => action 1098: (7, 0) upgrade
actionProfitValue = 0.099853, totalProfit = 326.914570 => action 1099: (5, 2) upgrade
actionProfitValue = 0.099851, totalProfit = 327.014422 => action 1100: (3, 4) upgrade
actionProfitValue = 0.099509, totalProfit = 327.114273 => action 1101: (1, 0) upgrade
actionProfitValue = 0.099166, totalProfit = 327.213782 => action 1102: (6, 0) upgrade
actionProfitValue = 0.099086, totalProfit = 327.312948 => action 1103: (7, 6) upgrade
actionProfitValue = 0.099017, totalProfit = 327.412034 => action 1104: (5, 0) upgrade
actionProfitValue = 0.099006, totalProfit = 327.511051 => action 1105: (7, 5) upgrade
actionProfitValue = 0.098832, totalProfit = 327.610057 => action 1106: (5, 3) upgrade
actionProfitValue = 0.098655, totalProfit = 327.708889 => action 1107: (3, 5) upgrade
actionProfitValue = 0.098548, totalProfit = 327.807544 => action 1108: (3, 3) upgrade
actionProfitValue = 0.098390, totalProfit = 327.906092 => action 1109: (1, 4) upgrade
actionProfitValue = 0.098204, totalProfit = 328.004482 => action 1110: (3, 2) upgrade
actionProfitValue = 0.098173, totalProfit = 328.102686 => action 1111: (1, 5) upgrade
actionProfitValue = 0.098168, totalProfit = 328.200858 => action 1112: (1, 2) upgrade
actionProfitValue = 0.098136, totalProfit = 328.299027 => action 1113: (6, 6) upgrade
actionProfitValue = 0.098049, totalProfit = 328.397162 => action 1114: (6, 4) upgrade
actionProfitValue = 0.097947, totalProfit = 328.495211 => action 1115: (6, 5) upgrade
actionProfitValue = 0.097834, totalProfit = 328.593158 => action 1116: (5, 5) upgrade
actionProfitValue = 0.097724, totalProfit = 328.690992 => action 1117: (1, 1) upgrade
actionProfitValue = 0.097684, totalProfit = 328.788716 => action 1118: (3, 1) upgrade
actionProfitValue = 0.097674, totalProfit = 328.886400 => action 1119: (3, 7) upgrade
actionProfitValue = 0.097330, totalProfit = 328.984074 => action 1120: (5, 1) upgrade
actionProfitValue = 0.097072, totalProfit = 329.081404 => action 1121: (5, 6) upgrade
actionProfitValue = 0.096980, totalProfit = 329.178476 => action 1122: (7, 1) upgrade
actionProfitValue = 0.096925, totalProfit = 329.275456 => action 1123: (1, 6) upgrade
actionProfitValue = 0.096866, totalProfit = 329.372381 => action 1124: (3, 6) upgrade
actionProfitValue = 0.096771, totalProfit = 329.469247 => action 1125: (7, 3) upgrade
actionProfitValue = 0.096704, totalProfit = 329.566018 => action 1126: (6, 2) upgrade
actionProfitValue = 0.095982, totalProfit = 329.662722 => action 1127: (7, 4) upgrade
actionProfitValue = 0.095961, totalProfit = 329.758704 => action 1128: (1, 3) upgrade
actionProfitValue = 0.095869, totalProfit = 329.854665 => action 1129: (3, 4) upgrade
actionProfitValue = 0.095278, totalProfit = 329.950534 => action 1130: (6, 1) upgrade
actionProfitValue = 0.094919, totalProfit = 330.045812 => action 1131: (6, 3) upgrade
actionProfitValue = 0.094897, totalProfit = 330.140731 => action 1132: (5, 4) upgrade
actionProfitValue = 0.094500, totalProfit = 330.235628 => action 1133: (7, 2) upgrade
actionProfitValue = 0.094490, totalProfit = 330.330128 => action 1134: (5, 3) upgrade
actionProfitValue = 0.094460, totalProfit = 330.424619 => action 1135: (3, 3) upgrade
actionProfitValue = 0.094414, totalProfit = 330.519079 => action 1136: (7, 0) upgrade
actionProfitValue = 0.094246, totalProfit = 330.613494 => action 1137: (5, 2) upgrade
actionProfitValue = 0.094244, totalProfit = 330.707739 => action 1138: (1, 4) upgrade
actionProfitValue = 0.094237, totalProfit = 330.801983 => action 1139: (3, 2) upgrade
actionProfitValue = 0.094206, totalProfit = 330.896220 => action 1140: (1, 5) upgrade
actionProfitValue = 0.094202, totalProfit = 330.990426 => action 1141: (1, 1) upgrade
actionProfitValue = 0.093737, totalProfit = 331.084627 => action 1142: (3, 1) upgrade
actionProfitValue = 0.093727, totalProfit = 331.178365 => action 1143: (6, 0) upgrade
actionProfitValue = 0.093522, totalProfit = 331.272092 => action 1144: (1, 0) upgrade
actionProfitValue = 0.093490, totalProfit = 331.365614 => action 1145: (7, 6) upgrade
actionProfitValue = 0.093457, totalProfit = 331.459104 => action 1146: (5, 0) upgrade
actionProfitValue = 0.093447, totalProfit = 331.552561 => action 1147: (7, 5) upgrade
actionProfitValue = 0.093283, totalProfit = 331.646008 => action 1148: (3, 5) upgrade
actionProfitValue = 0.092907, totalProfit = 331.739290 => action 1149: (3, 6) upgrade
actionProfitValue = 0.092861, totalProfit = 331.832197 => action 1150: (6, 6) upgrade
actionProfitValue = 0.092543, totalProfit = 331.925058 => action 1151: (1, 2) upgrade
actionProfitValue = 0.092519, totalProfit = 332.017602 => action 1152: (6, 4) upgrade
actionProfitValue = 0.092447, totalProfit = 332.110120 => action 1153: (6, 5) upgrade
actionProfitValue = 0.092341, totalProfit = 332.202568 => action 1154: (5, 5) upgrade
actionProfitValue = 0.092237, totalProfit = 332.294908 => action 1155: (1, 3) upgrade
actionProfitValue = 0.091793, totalProfit = 332.387145 => action 1156: (3, 7) upgrade
actionProfitValue = 0.091759, totalProfit = 332.478938 => action 1157: (5, 1) upgrade
actionProfitValue = 0.091621, totalProfit = 332.570697 => action 1158: (5, 6) upgrade
actionProfitValue = 0.091535, totalProfit = 332.662318 => action 1159: (1, 6) upgrade
actionProfitValue = 0.091322, totalProfit = 332.753853 => action 1160: (7, 3) upgrade
actionProfitValue = 0.091274, totalProfit = 332.845174 => action 1161: (3, 4) upgrade
actionProfitValue = 0.091227, totalProfit = 332.936448 => action 1162: (3, 3) upgrade
actionProfitValue = 0.090600, totalProfit = 333.027675 => action 1163: (6, 2) upgrade
actionProfitValue = 0.090593, totalProfit = 333.118275 => action 1164: (7, 4) upgrade
actionProfitValue = 0.090573, totalProfit = 333.208867 => action 1165: (7, 1) upgrade
actionProfitValue = 0.090554, totalProfit = 333.299440 => action 1166: (5, 3) upgrade
actionProfitValue = 0.090444, totalProfit = 333.389994 => action 1167: (1, 4) upgrade
actionProfitValue = 0.090429, totalProfit = 333.480438 => action 1168: (3, 2) upgrade
actionProfitValue = 0.090400, totalProfit = 333.570867 => action 1169: (1, 5) upgrade
actionProfitValue = 0.090395, totalProfit = 333.661267 => action 1170: (1, 1) upgrade
actionProfitValue = 0.089950, totalProfit = 333.751662 => action 1171: (3, 1) upgrade
actionProfitValue = 0.089940, totalProfit = 333.841612 => action 1172: (6, 3) upgrade
actionProfitValue = 0.089568, totalProfit = 333.931553 => action 1173: (5, 4) upgrade
actionProfitValue = 0.089194, totalProfit = 334.021121 => action 1174: (7, 2) upgrade
actionProfitValue = 0.089185, totalProfit = 334.110315 => action 1175: (3, 6) upgrade
actionProfitValue = 0.089109, totalProfit = 334.199500 => action 1176: (7, 0) upgrade
actionProfitValue = 0.088954, totalProfit = 334.288609 => action 1177: (5, 2) upgrade
actionProfitValue = 0.088952, totalProfit = 334.377563 => action 1178: (6, 1) upgrade
actionProfitValue = 0.088680, totalProfit = 334.466515 => action 1179: (6, 0) upgrade
actionProfitValue = 0.088271, totalProfit = 334.555195 => action 1180: (7, 6) upgrade
actionProfitValue = 0.088209, totalProfit = 334.643466 => action 1181: (5, 0) upgrade
actionProfitValue = 0.088200, totalProfit = 334.731675 => action 1182: (1, 0) upgrade
actionProfitValue = 0.088139, totalProfit = 334.819874 => action 1183: (7, 5) upgrade
actionProfitValue = 0.088045, totalProfit = 334.908013 => action 1184: (1, 3) upgrade
actionProfitValue = 0.087890, totalProfit = 334.996058 => action 1185: (3, 5) upgrade
actionProfitValue = 0.087589, totalProfit = 335.083947 => action 1186: (3, 4) upgrade
actionProfitValue = 0.087348, totalProfit = 335.171537 => action 1187: (6, 6) upgrade
actionProfitValue = 0.087347, totalProfit = 335.258884 => action 1188: (6, 4) upgrade
actionProfitValue = 0.087256, totalProfit = 335.346231 => action 1189: (1, 2) upgrade
actionProfitValue = 0.087223, totalProfit = 335.433487 => action 1190: (6, 5) upgrade
actionProfitValue = 0.087156, totalProfit = 335.520710 => action 1191: (5, 5) upgrade
actionProfitValue = 0.087058, totalProfit = 335.607866 => action 1192: (3, 3) upgrade
actionProfitValue = 0.086939, totalProfit = 335.694924 => action 1193: (1, 4) upgrade
actionProfitValue = 0.086775, totalProfit = 335.781863 => action 1194: (3, 2) upgrade
actionProfitValue = 0.086747, totalProfit = 335.868638 => action 1195: (1, 5) upgrade
actionProfitValue = 0.086743, totalProfit = 335.955385 => action 1196: (5, 3) upgrade
actionProfitValue = 0.086598, totalProfit = 336.042128 => action 1197: (3, 7) upgrade
actionProfitValue = 0.086507, totalProfit = 336.128727 => action 1198: (5, 1) upgrade
actionProfitValue = 0.086476, totalProfit = 336.215233 => action 1199: (5, 6) upgrade
actionProfitValue = 0.086395, totalProfit = 336.301709 => action 1200: (1, 1) upgrade
actionProfitValue = 0.086316, totalProfit = 336.388104 => action 1201: (3, 1) upgrade
actionProfitValue = 0.086307, totalProfit = 336.474420 => action 1202: (7, 3) upgrade
actionProfitValue = 0.086149, totalProfit = 336.560727 => action 1203: (1, 6) upgrade
actionProfitValue = 0.086094, totalProfit = 336.646875 => action 1204: (3, 6) upgrade
actionProfitValue = 0.085509, totalProfit = 336.732970 => action 1205: (6, 2) upgrade
actionProfitValue = 0.085506, totalProfit = 336.818479 => action 1206: (7, 4) upgrade
actionProfitValue = 0.085487, totalProfit = 336.903984 => action 1207: (7, 1) upgrade
actionProfitValue = 0.084602, totalProfit = 336.989472 => action 1208: (6, 3) upgrade
actionProfitValue = 0.084539, totalProfit = 337.074073 => action 1209: (5, 4) upgrade
actionProfitValue = 0.084186, totalProfit = 337.158612 => action 1210: (7, 2) upgrade
actionProfitValue = 0.084177, totalProfit = 337.242798 => action 1211: (1, 3) upgrade
actionProfitValue = 0.084153, totalProfit = 337.326975 => action 1212: (7, 0) upgrade
actionProfitValue = 0.083959, totalProfit = 337.411127 => action 1213: (5, 2) upgrade
actionProfitValue = 0.083958, totalProfit = 337.495086 => action 1214: (3, 4) upgrade
actionProfitValue = 0.083634, totalProfit = 337.579044 => action 1215: (3, 3) upgrade
actionProfitValue = 0.083426, totalProfit = 337.662678 => action 1216: (6, 0) upgrade
actionProfitValue = 0.083314, totalProfit = 337.746104 => action 1217: (1, 4) upgrade
actionProfitValue = 0.083269, totalProfit = 337.829418 => action 1218: (7, 6) upgrade
actionProfitValue = 0.083256, totalProfit = 337.912688 => action 1219: (5, 0) upgrade
actionProfitValue = 0.083247, totalProfit = 337.995944 => action 1220: (3, 2) upgrade
actionProfitValue = 0.083242, totalProfit = 338.079191 => action 1221: (1, 5) upgrade
actionProfitValue = 0.083238, totalProfit = 338.162433 => action 1222: (7, 5) upgrade
actionProfitValue = 0.083101, totalProfit = 338.245672 => action 1223: (1, 0) upgrade
actionProfitValue = 0.083094, totalProfit = 338.328773 => action 1224: (5, 3) upgrade
actionProfitValue = 0.082916, totalProfit = 338.411866 => action 1225: (6, 1) upgrade
actionProfitValue = 0.082851, totalProfit = 338.494782 => action 1226: (1, 1) upgrade
actionProfitValue = 0.082828, totalProfit = 338.577633 => action 1227: (3, 1) upgrade
actionProfitValue = 0.082819, totalProfit = 338.660461 => action 1228: (3, 5) upgrade
actionProfitValue = 0.082576, totalProfit = 338.743280 => action 1229: (6, 6) upgrade
actionProfitValue = 0.082442, totalProfit = 338.825856 => action 1230: (6, 4) upgrade
actionProfitValue = 0.082357, totalProfit = 338.908298 => action 1231: (6, 5) upgrade
actionProfitValue = 0.082262, totalProfit = 338.990655 => action 1232: (1, 2) upgrade
actionProfitValue = 0.082231, totalProfit = 339.072917 => action 1233: (5, 5) upgrade
actionProfitValue = 0.082169, totalProfit = 339.155147 => action 1234: (3, 6) upgrade
actionProfitValue = 0.082054, totalProfit = 339.237317 => action 1235: (5, 1) upgrade
actionProfitValue = 0.081621, totalProfit = 339.319371 => action 1236: (3, 7) upgrade
actionProfitValue = 0.081555, totalProfit = 339.400992 => action 1237: (5, 6) upgrade
actionProfitValue = 0.081544, totalProfit = 339.482547 => action 1238: (7, 3) upgrade
actionProfitValue = 0.081311, totalProfit = 339.564091 => action 1239: (1, 6) upgrade
actionProfitValue = 0.081167, totalProfit = 339.645402 => action 1240: (6, 2) upgrade
actionProfitValue = 0.080705, totalProfit = 339.726569 => action 1241: (7, 4) upgrade
actionProfitValue = 0.080687, totalProfit = 339.807273 => action 1242: (1, 3) upgrade
actionProfitValue = 0.080574, totalProfit = 339.887961 => action 1243: (3, 4) upgrade
actionProfitValue = 0.080077, totalProfit = 339.968535 => action 1244: (3, 3) upgrade
actionProfitValue = 0.080056, totalProfit = 340.048612 => action 1245: (1, 4) upgrade
actionProfitValue = 0.079905, totalProfit = 340.128668 => action 1246: (3, 2) upgrade
actionProfitValue = 0.079879, totalProfit = 340.208573 => action 1247: (1, 5) upgrade
actionProfitValue = 0.079875, totalProfit = 340.288452 => action 1248: (6, 3) upgrade
actionProfitValue = 0.079792, totalProfit = 340.368327 => action 1249: (1, 1) upgrade
actionProfitValue = 0.079481, totalProfit = 340.448119 => action 1250: (3, 1) upgrade
actionProfitValue = 0.079473, totalProfit = 340.527600 => action 1251: (5, 4) upgrade
actionProfitValue = 0.079459, totalProfit = 340.607073 => action 1252: (7, 2) upgrade
actionProfitValue = 0.079451, totalProfit = 340.686532 => action 1253: (5, 3) upgrade
actionProfitValue = 0.079390, totalProfit = 340.765983 => action 1254: (7, 0) upgrade
actionProfitValue = 0.079245, totalProfit = 340.845373 => action 1255: (5, 2) upgrade
actionProfitValue = 0.079243, totalProfit = 340.924617 => action 1256: (7, 1) upgrade
actionProfitValue = 0.079040, totalProfit = 341.003861 => action 1257: (3, 6) upgrade
actionProfitValue = 0.078739, totalProfit = 341.082901 => action 1258: (6, 0) upgrade
actionProfitValue = 0.078636, totalProfit = 341.161640 => action 1259: (7, 6) upgrade
actionProfitValue = 0.078581, totalProfit = 341.240276 => action 1260: (5, 0) upgrade
actionProfitValue = 0.078573, totalProfit = 341.318858 => action 1261: (7, 5) upgrade
actionProfitValue = 0.078435, totalProfit = 341.397430 => action 1262: (1, 0) upgrade
actionProfitValue = 0.078337, totalProfit = 341.475865 => action 1263: (3, 5) upgrade
actionProfitValue = 0.077849, totalProfit = 341.554203 => action 1264: (6, 6) upgrade
actionProfitValue = 0.077813, totalProfit = 341.632052 => action 1265: (6, 4) upgrade
actionProfitValue = 0.077733, totalProfit = 341.709865 => action 1266: (6, 5) upgrade
actionProfitValue = 0.077643, totalProfit = 341.787597 => action 1267: (5, 5) upgrade
actionProfitValue = 0.077556, totalProfit = 341.865240 => action 1268: (1, 2) upgrade
actionProfitValue = 0.077524, totalProfit = 341.942796 => action 1269: (6, 1) upgrade
actionProfitValue = 0.077405, totalProfit = 342.020319 => action 1270: (1, 3) upgrade
actionProfitValue = 0.077148, totalProfit = 342.097724 => action 1271: (5, 1) upgrade
actionProfitValue = 0.077038, totalProfit = 342.174872 => action 1272: (5, 6) upgrade
actionProfitValue = 0.076965, totalProfit = 342.251910 => action 1273: (3, 7) upgrade
actionProfitValue = 0.076887, totalProfit = 342.328875 => action 1274: (3, 3) upgrade
actionProfitValue = 0.076821, totalProfit = 342.405762 => action 1275: (7, 3) upgrade
actionProfitValue = 0.076746, totalProfit = 342.482583 => action 1276: (1, 4) upgrade
actionProfitValue = 0.076676, totalProfit = 342.559329 => action 1277: (3, 4) upgrade
actionProfitValue = 0.076673, totalProfit = 342.636005 => action 1278: (3, 2) upgrade
actionProfitValue = 0.076652, totalProfit = 342.712678 => action 1279: (1, 5) upgrade
actionProfitValue = 0.076648, totalProfit = 342.789330 => action 1280: (1, 6) upgrade
actionProfitValue = 0.076521, totalProfit = 342.865977 => action 1281: (1, 1) upgrade
actionProfitValue = 0.076270, totalProfit = 342.942498 => action 1282: (3, 1) upgrade
actionProfitValue = 0.076262, totalProfit = 343.018768 => action 1283: (6, 2) upgrade
actionProfitValue = 0.076173, totalProfit = 343.095030 => action 1284: (7, 4) upgrade
actionProfitValue = 0.076156, totalProfit = 343.171203 => action 1285: (5, 3) upgrade
actionProfitValue = 0.076015, totalProfit = 343.247360 => action 1286: (3, 6) upgrade
actionProfitValue = 0.075557, totalProfit = 343.323375 => action 1287: (6, 3) upgrade
actionProfitValue = 0.075311, totalProfit = 343.398932 => action 1288: (5, 4) upgrade
actionProfitValue = 0.074997, totalProfit = 343.474243 => action 1289: (7, 2) upgrade
actionProfitValue = 0.074989, totalProfit = 343.549240 => action 1290: (7, 0) upgrade
actionProfitValue = 0.074795, totalProfit = 343.624230 => action 1291: (5, 2) upgrade
actionProfitValue = 0.074794, totalProfit = 343.699025 => action 1292: (6, 0) upgrade
actionProfitValue = 0.074221, totalProfit = 343.773818 => action 1293: (7, 6) upgrade
actionProfitValue = 0.074169, totalProfit = 343.848039 => action 1294: (5, 0) upgrade
actionProfitValue = 0.074161, totalProfit = 343.922208 => action 1295: (7, 5) upgrade
actionProfitValue = 0.074031, totalProfit = 343.996369 => action 1296: (1, 3) upgrade
actionProfitValue = 0.073868, totalProfit = 344.070400 => action 1297: (1, 0) upgrade
actionProfitValue = 0.073854, totalProfit = 344.144268 => action 1298: (7, 1) upgrade
actionProfitValue = 0.073845, totalProfit = 344.218121 => action 1299: (3, 3) upgrade
actionProfitValue = 0.073717, totalProfit = 344.291966 => action 1300: (1, 4) upgrade
actionProfitValue = 0.073578, totalProfit = 344.365683 => action 1301: (3, 2) upgrade
actionProfitValue = 0.073555, totalProfit = 344.439261 => action 1302: (1, 5) upgrade
actionProfitValue = 0.073551, totalProfit = 344.512816 => action 1303: (6, 6) upgrade
actionProfitValue = 0.073444, totalProfit = 344.586367 => action 1304: (3, 4) upgrade
actionProfitValue = 0.073412, totalProfit = 344.659811 => action 1305: (3, 5) upgrade
actionProfitValue = 0.073393, totalProfit = 344.733223 => action 1306: (6, 4) upgrade
actionProfitValue = 0.073368, totalProfit = 344.806616 => action 1307: (6, 5) upgrade
actionProfitValue = 0.073283, totalProfit = 344.879984 => action 1308: (5, 5) upgrade
actionProfitValue = 0.073201, totalProfit = 344.953267 => action 1309: (1, 1) upgrade
actionProfitValue = 0.073188, totalProfit = 345.026468 => action 1310: (3, 1) upgrade
actionProfitValue = 0.073181, totalProfit = 345.099656 => action 1311: (1, 2) upgrade
actionProfitValue = 0.073086, totalProfit = 345.172837 => action 1312: (5, 3) upgrade
actionProfitValue = 0.072782, totalProfit = 345.245923 => action 1313: (5, 1) upgrade
actionProfitValue = 0.072712, totalProfit = 345.318706 => action 1314: (5, 6) upgrade
actionProfitValue = 0.072643, totalProfit = 345.391418 => action 1315: (3, 6) upgrade
actionProfitValue = 0.072505, totalProfit = 345.464061 => action 1316: (3, 7) upgrade
actionProfitValue = 0.072486, totalProfit = 345.536566 => action 1317: (7, 3) upgrade
actionProfitValue = 0.072436, totalProfit = 345.609052 => action 1318: (6, 1) upgrade
actionProfitValue = 0.072317, totalProfit = 345.681488 => action 1319: (1, 6) upgrade
actionProfitValue = 0.072141, totalProfit = 345.753805 => action 1320: (6, 2) upgrade
actionProfitValue = 0.071896, totalProfit = 345.825946 => action 1321: (7, 4) upgrade
actionProfitValue = 0.071880, totalProfit = 345.897841 => action 1322: (6, 3) upgrade
